"PO","取引業者コード","","配送センター","ウィンドウの種類","ウィンドウ開始日","ウィンドウ終了日","総ケース数","総額"
"3XLLNANO","2UQ7Z","2020/05/26","HND8 - 八王子市, Tokyo","着荷ウィンドウ (元払い)","2020/05/26","2020/05/29","2","5720"
"3ONOJWXR","2UQ7Z","2020/05/26","TPFA - 野田市, Chiba","着荷ウィンドウ (元払い)","2020/05/26","2020/05/29","1","27800"
"7IVB6QEA","2UQ7Z","2020/05/26","KIX1 - 堺市, Osaka","着荷ウィンドウ (元払い)","2020/05/26","2020/05/29","1","1240"
"7767AICI","2UQ7Z","2020/05/26","TPF4 - 稲沢市, Aichi","着荷ウィンドウ (元払い)","2020/05/26","2020/05/29","1","42750"
"614DBWON","2UQ7Z","2020/05/26","HSG1 - 鳥栖市, Saga","着荷ウィンドウ (元払い)","2020/05/26","2020/05/29","1","2219"
"32LZROXT","2UQ7Z","2020/05/26","KIX5 - 京田辺市, 京都府","着荷ウィンドウ (元払い)","2020/05/26","2020/05/29","2","4548"
"2Q62QDFD","2UQ7Z","2020/05/26","TPFB - 伊勢原市, Kanagawa","着荷ウィンドウ (元払い)","2020/05/26","2020/05/29","1","1029"
"5VM8ORGS","2UQ7Z","2020/05/26","HND6 - 川崎市, Kanagawa","着荷ウィンドウ (元払い)","2020/05/26","2020/05/29","5","13065"
"5DA34R6Y","2UQ7Z","2020/05/26","NRT1 - 市川市, Chiba","着荷ウィンドウ (元払い)","2020/05/26","2020/05/29","3","30224"
"29YNH2OV","2UQ7Z","2020/05/26","OKJ1 - 総社市, Okayama","着荷ウィンドウ (元払い)","2020/05/26","2020/05/29","2","3388"
"3FKFRV2R","2UQ7Z","2020/05/26","NGO2 - 多治見市, Gifu","着荷ウィンドウ (元払い)","2020/05/26","2020/05/29","1","9472"
"6VY6FTSQ","WP1A4","2020/05/26","HSG1 - 鳥栖市, Saga","着荷ウィンドウ (元払い)","2020/05/26","2020/05/29","9","6953"
"6G3BQIAR","WP1A4","2020/05/26","HND8 - 八王子市, Tokyo","着荷ウィンドウ (元払い)","2020/05/26","2020/05/29","11","10896"
"6ZNON2IU","WP1A4","2020/05/26","HSG1 - 鳥栖市, Saga","着荷ウィンドウ (元払い)","2020/05/26","2020/05/29","1","4239"
"6XSX1XNF","WP1A4","2020/05/26","VJNA - 柏市, 千葉県","着荷ウィンドウ (元払い)","2020/05/26","2020/05/29","1","1831"
"6RHNHXVG","WP1A4","2020/05/26","OKJ1 - 総社市, Okayama","着荷ウィンドウ (元払い)","2020/05/26","2020/05/29","3","4283"
"6PC4R2KO","WP1A4","2020/05/26","KIX5 - 京田辺市, 京都府","着荷ウィンドウ (元払い)","2020/05/26","2020/05/29","2","8094"
"6MELAI2Q","WP1A4","2020/05/26","TYO1 - 川口市, 埼玉県","着荷ウィンドウ (元払い)","2020/05/26","2020/05/29","4","4465"
"6BB1NTWE","WP1A4","2020/05/26","KIX1 - 堺市, Osaka","着荷ウィンドウ (元払い)","2020/05/26","2020/05/29","3","1997"
"5GD5TT3T","WP1A4","2020/05/26","TPF4 - 稲沢市, Aichi","着荷ウィンドウ (元払い)","2020/05/26","2020/05/29","1","4841"
"55PST1OK","WP1A4","2020/05/26","TPFA - 野田市, Chiba","着荷ウィンドウ (元払い)","2020/05/26","2020/05/29","1","4970"
"1TZNFRBA","WP1A4","2020/05/26","NRT1 - 市川市, Chiba","着荷ウィンドウ (元払い)","2020/05/26","2020/05/29","6","6275"
"1JDBEYWR","WP1A4","2020/05/26","HND6 - 川崎市, Kanagawa","着荷ウィンドウ (元払い)","2020/05/26","2020/05/29","13","11974"
"189QSBRF","WP1A4","2020/05/26","HND9 - 川崎市, 神奈川県","着荷ウィンドウ (元払い)","2020/05/26","2020/05/29","5","5197"
"149GGBLY","WP1A4","2020/05/26","KIX3 - 茨木市, Osaka","着荷ウィンドウ (元払い)","2020/05/26","2020/05/29","5","3150"
"6YVOWEBO","WP1A4","2020/05/26","TPFB - 伊勢原市, Kanagawa","着荷ウィンドウ (元払い)","2020/05/26","2020/05/29","1","3679"
"5ZXIQDBW","WP1A4","2020/05/26","KIX2 - 大東市, Osaka","着荷ウィンドウ (元払い)","2020/05/26","2020/05/29","1","4841"
"5H55KHAZ","WP1A4","2020/05/26","FSZ1 - 小田原市, Kanagawa","着荷ウィンドウ (元払い)","2020/05/26","2020/05/29","1","2014"
"8F2QDVON","WP1A4","2020/05/26","HND6 - 川崎市, Kanagawa","着荷ウィンドウ (元払い)","2020/05/26","2020/05/29","1","1259"
"5YLWD8GB","2UQ7Z","2020/05/25","TYO1 - 川口市, 埼玉県","着荷ウィンドウ (元払い)","2020/05/25","2020/05/28","1","9472"
"5UATVFTR","2UQ7Z","2020/05/25","HND9 - 川崎市, 神奈川県","着荷ウィンドウ (元払い)","2020/05/25","2020/05/28","1","1358"
"5FN7IN9B","2UQ7Z","2020/05/25","KIX5 - 京田辺市, 京都府","着荷ウィンドウ (元払い)","2020/05/25","2020/05/28","1","9472"
"5LT1LJQA","2UQ7Z","2020/05/25","TPFA - 野田市, Chiba","着荷ウィンドウ (元払い)","2020/05/25","2020/05/28","4","45070"
"5RTIZR2W","2UQ7Z","2020/05/25","KIX1 - 堺市, Osaka","着荷ウィンドウ (元払い)","2020/05/25","2020/05/28","2","10690"
"6I1BDJRN","2UQ7Z","2020/05/25","TPFB - 伊勢原市, Kanagawa","着荷ウィンドウ (元払い)","2020/05/25","2020/05/28","2","18800"
"3MG5XO7A","2UQ7Z","2020/05/25","HND8 - 八王子市, Tokyo","着荷ウィンドウ (元払い)","2020/05/25","2020/05/28","2","12656"
"7U3QIQUB","2UQ7Z","2020/05/25","TPF2 - 比企郡, Saitama","着荷ウィンドウ (元払い)","2020/05/25","2020/05/28","1","2400"
"71F12QMB","2UQ7Z","2020/05/25","HSG1 - 鳥栖市, Saga","着荷ウィンドウ (元払い)","2020/05/25","2020/05/28","2","13362"
"3RZFQZRT","2UQ7Z","2020/05/25","VJNA - 柏市, 千葉県","着荷ウィンドウ (元払い)","2020/05/25","2020/05/28","1","22350"
"7DAKF2YT","2UQ7Z","2020/05/25","HND6 - 川崎市, Kanagawa","着荷ウィンドウ (元払い)","2020/05/25","2020/05/28","14","84128"
"2M5LTURY","2UQ7Z","2020/05/25","KIX3 - 茨木市, Osaka","着荷ウィンドウ (元払い)","2020/05/25","2020/05/28","4","22451"
"2HDBR7EL","2UQ7Z","2020/05/25","OKJ1 - 総社市, Okayama","着荷ウィンドウ (元払い)","2020/05/25","2020/05/28","6","8922"
"27SQLUNL","2UQ7Z","2020/05/25","NRT1 - 市川市, Chiba","着荷ウィンドウ (元払い)","2020/05/25","2020/05/28","1","2219"
"277Q9BBQ","WP1A4","2020/05/25","HND6 - 川崎市, Kanagawa","着荷ウィンドウ (元払い)","2020/05/25","2020/05/28","27","31221"
